001,ndhH
002,petD
003,psaB
004,psbZtrnG
005,psbCpsbZtrnS
006,psbD
007,rpoC1
008,rpoC1rpoC2
009,rpoC2rps2
010,atpIrps2
011,atpI
012,atpFatpH
013,atpA
014,psbKtrnQ
015,matK
016,psbA
017,ndhBrps7
018,ndhB
019,rpl2rpl23ycf2
020,ndhGndhI
021,ndhD
022,ccsA
023,rps15ycf1
024,rps11rps8
025,petDrpoA
026,petB
027,psbB
028,clpPpsbB
029,clpP
030,rpl2rps12rps18
031,petA
032,ycf4
033,accD
034,accDrbcL
035,rbcL
036,atpB
037,trnV
038,ndhJtrnL
039,rps4trnSycf3
040,ycf3
041,psaAycf3
042,psbC
043,petNtrnC
044,rpl16rps3
045,psbDtrnT
046,rpoBtrnC
047,atpHatpI
048,psbKtrnS
049,rps16trnK
050,psbAtrnK
051,rrn5trnNycf1
052,petBpetD
053,petLtrnP
054,psaIycf4
055,atpBrbcL
056,rrn16trnI
057,trnI
058,trnG
059,trnDtrnT
060,rps16
061,rrn5trnN
062,trnA
063,rrn16
064,rrn16trnV
065,rps12
066,ndhA
067,trnL
068,ndhFrpl32
069,ndhCtrnV
070,matKtrnK
071,ccsAndhD
072,petNtrnD
073,
074,trnP
075,ndhG
076,psaI
077,ndhGpsaC
078,psaC
079,rpl2rpl22trnH
080,rps3
081,rpl16
082,rpl2
083,trnfMtrnG
084,trnS
085,psbCtrnS
086,rps2
087,rpoB
088,ccsArpl32trnL
089,ccsArpl32
090,rpl2rpl23trnIycf2
091,clpPrps12
092,rpl16rps8
093,rrn5
094,rpl2rps18
095,rps16trnQ
096,rps12trnV
097,atpAtrnG
098,rrn23trnA
099,trnGtrnS
100,rps18
101,ndhBtrnLycf1ycf2
102,ndhBtrnLycf1
103,trnN
104,atpF
105,accDpsaI
106,petAycf4
